,Title,Genres,Average Rating,Number of Ratings
m318,"Shawshank Redemption, The (1994)",Drama,4.554557700942973,2227
m858,"Godfather, The (1972)",Action|Crime|Drama,4.524966261808367,2223
m50,"Usual Suspects, The (1995)",Crime|Thriller,4.517106001121705,1783
m527,Schindler's List (1993),Drama|War,4.510416666666667,2304
m1198,Raiders of the Lost Ark (1981),Action|Adventure,4.477724741447892,2514
m904,Rear Window (1954),Mystery|Thriller,4.476190476190476,1050
m260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.453694416583082,2991
m750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,4.4498902706656915,1367
m912,Casablanca (1942),Drama|Romance|War,4.412822049131217,1669
m2762,"Sixth Sense, The (1999)",Thriller,4.406262708418057,2459
m913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,4.395973154362416,1043
m1193,One Flew Over the Cuckoo's Nest (1975),Drama,4.390724637681159,1725
m923,Citizen Kane (1941),Drama,4.388888888888889,1116
m908,North by Northwest (1959),Drama|Thriller,4.38403041825095,1315
m1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,4.357565011820331,1692
m593,"Silence of the Lambs, The (1991)",Drama|Thriller,4.3518231186966645,2578
m1252,Chinatown (1974),Film-Noir|Mystery|Thriller,4.339240506329114,1185
m2028,Saving Private Ryan (1998),Action|Drama|War,4.337353938937053,2653
m1136,Monty Python and the Holy Grail (1974),Comedy,4.335209505941213,1599
m2324,Life Is Beautiful (La Vita ̬ bella) (1997),Comedy|Drama,4.329861111111111,1152
m1234,"Sting, The (1973)",Comedy|Crime,4.320305052430887,1049
m2858,American Beauty (1999),Comedy|Drama,4.3173862310385065,3428
m2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,4.315830115830116,2590
m1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.3037100949094045,2318
m1233,"Boat, The (Das Boot) (1981)",Action|Drama|War,4.302697302697303,1001
m1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,4.292976588628763,2990
m296,Pulp Fiction (1994),Crime|Drama,4.278212805158913,2171
m1213,GoodFellas (1990),Crime|Drama,4.275196137598069,1657
m541,Blade Runner (1982),Film-Noir|Sci-Fi,4.273333333333333,1800
m608,Fargo (1996),Crime|Drama|Thriller,4.254675686430561,2513
m1225,Amadeus (1984),Drama,4.251808972503618,1382
m969,"African Queen, The (1951)",Action|Adventure|Romance|War,4.251655629139073,1057
m1278,Young Frankenstein (1974),Comedy|Horror,4.250628667225482,1193
m919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,4.247962747380675,1718
m1247,"Graduate, The (1967)",Drama|Romance,4.245836637589215,1261
m1208,Apocalypse Now (1979),Drama|War,4.243197278911564,1176
m2804,"Christmas Story, A (1983)",Comedy|Drama,4.238905325443787,1352
m110,Braveheart (1995),Action|Drama|War,4.234957020057307,2443
m2692,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,4.224813432835821,1072
m1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,4.219405594405594,2288
m3114,Toy Story 2 (1999),Animation|Children's|Comedy,4.218927444794953,1585
m1219,Psycho (1960),Horror|Thriller,4.218527315914489,1263
m1304,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,4.215644820295983,1419
m1358,Sling Blade (1996),Drama|Thriller,4.208156329651657,1177
m1242,Glory (1989),Action|Drama|War,4.193345323741007,1112
m111,Taxi Driver (1976),Drama|Thriller,4.183870967741935,1240
m1288,This Is Spinal Tap (1984),Comedy|Drama|Musical,4.179785330948121,1118
m1704,Good Will Hunting (1997),Drama,4.176356589147287,1548
m1214,Alien (1979),Action|Horror|Sci-Fi|Thriller,4.159584980237154,2024
m3147,"Green Mile, The (1999)",Drama|Thriller,4.154664484451718,1222
m1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,4.152049571020019,2098
m1,Toy Story (1995),Animation|Children's|Comedy,4.146846413095811,2077
m1230,Annie Hall (1977),Comedy|Romance,4.14167916041979,1334
m1089,Reservoir Dogs (1992),Crime|Thriller,4.13582208101668,1259
m1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,4.133292383292384,1628
m2396,Shakespeare in Love (1998),Comedy|Romance,4.127479949345715,2369
m1200,Aliens (1986),Action|Sci-Fi|Thriller|War,4.125824175824176,1820
m2997,Being John Malkovich (1999),Comedy,4.125390450691656,2241
m1294,M*A*S*H (1970),Comedy|War,4.124658780709736,1099
m1036,Die Hard (1988),Action|Thriller,4.121848739495798,1666
m2918,Ferris Bueller's Day Off (1986),Comedy,4.11744738628649,1473
m1222,Full Metal Jacket (1987),Action|Drama|War,4.110845295055821,1254
m47,Seven (Se7en) (1995),Crime|Thriller,4.106420404573439,1137
m3578,Gladiator (2000),Action|Drama,4.106029106029106,1924
m1258,"Shining, The (1980)",Horror,4.104875804967802,1087
m457,"Fugitive, The (1993)",Action|Thriller,4.103258145363409,1995
m1259,Stand by Me (1986),Adventure|Comedy|Drama,4.0969187675070025,1785
m1090,Platoon (1986),Drama|War,4.090113735783027,1143
m1387,Jaws (1975),Action|Horror,4.089569829110195,1697
m356,Forrest Gump (1994),Comedy|Romance|War,4.087967183226983,2194
m1206,"Clockwork Orange, A (1971)",Sci-Fi,4.0781122864117165,1229
m2959,Fight Club (1999),Drama,4.077188146106134,1451
m150,Apollo 13 (1995),Drama,4.073541167066347,1251
m1307,When Harry Met Sally... (1989),Comedy|Romance,4.073341836734694,1568
m924,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,4.068764568764569,1716
m589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,4.058512646281616,2649
m1961,Rain Man (1988),Drama,4.053383458646617,1330
m3421,Animal House (1978),Comedy,4.053024026512014,1207
m1610,"Hunt for Red October, The (1990)",Action|Thriller,4.052058111380146,1652
m3671,Blazing Saddles (1974),Comedy|Western,4.047363717605005,1119
m1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,4.022892819979188,2883
m1394,Raising Arizona (1987),Comedy,4.02092050209205,1434
m3471,Close Encounters of the Third Kind (1977),Drama|Sci-Fi,4.0144727773949,1451
m2194,"Untouchables, The (1987)",Action|Crime|Drama,4.007985803016859,1127
m920,Gone with the Wind (1939),Drama|Romance|War,3.9974048442906573,1156
m1674,Witness (1985),Drama|Romance|Thriller,3.9961759082217974,1046
m1270,Back to the Future (1985),Comedy|Sci-Fi,3.9903213317847466,2583
m1079,"Fish Called Wanda, A (1988)",Comedy,3.971342383107089,1326
m2791,Airplane! (1980),Comedy,3.9711149624494513,1731
m1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,3.9651828999559275,2269
m1265,Groundhog Day (1993),Comedy|Romance,3.953028972783143,2278
m1784,As Good As It Gets (1997),Comedy|Drama,3.9501404494382024,1424
m223,Clerks (1994),Comedy,3.946883852691218,1412
m32,Twelve Monkeys (1995),Drama|Sci-Fi,3.945731303772336,1511
m1954,Rocky (1976),Action|Drama,3.9433126660761735,1129
m1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,3.9395973154362416,1341
m2268,"Few Good Men, A (1992)",Crime|Drama,3.93119698397738,1061
m2599,Election (1999),Comedy,3.9303547963206307,1522
m3481,High Fidelity (2000),Comedy,3.928623452294246,1373
m590,Dances with Wolves (1990),Adventure|Drama|Western,3.9152308752584424,1451
